ID,year,population,allmoney,debt,income,mainincome,profit,rawprofit,tax,ownervalue
1500321,2015.0,228.0,522480.0,256575.0,2403408.0,961363.2,240340.8,,0.0,265905.0
1500321,2016.0,116.0,139950.0,65310.0,531810.0,265905.0,53181.0,-53181.0,0.0,74640.0
1500321,2017.0,942.0,298560.0,578460.0,1313664.0,788198.4,394099.2,-131366.4,0.0,-279900.0
1500395,2015.0,111.0,416160.0,814980.0,957168.0,478584.0,287150.4,-95716.8,0.0,-398820.0
1500395,2016.0,867.0,112710.0,52020.0,405756.0,243453.6,81151.2,-40575.6,0.0,60690.0
1500395,2017.0,689.0,121380.0,,279174.0,139587.0,139587.0,-27917.4,0.0,65025.0
1500614,2015.0,543.0,108220.0,100490.0,519456.0,415564.8,155836.8,-51945.6,0.0,7730.0
1500614,2016.0,461.0,115950.0,162330.0,231900.0,92760.0,92760.0,-23190.0,0.0,-46380.0
1500614,2017.0,265.0,123680.0,57975.0,210256.0,126153.6,21025.6,-21025.6,0.0,65705.0
1501057,2015.0,733.0,355680.0,697680.0,1636128.0,654451.2,327225.6,-163612.8,0.0,-342000.0
1501057,2016.0,761.0,191520.0,277020.0,842688.0,505612.8,337075.2,-84268.8,0.0,-85500.0
1501057,2017.0,270.0,102600.0,47880.0,30780.0,21546.0,15390.0,-3078.0,0.0,54720.0
1501449,2015.0,795.0,28560.0,12495.0,28560.0,11424.0,14280.0,-2856.0,0.0,16065.0
1501449,2016.0,833.0,160650.0,157080.0,626535.0,313267.5,313267.5,-62653.5,0.0,3570.0
1501449,2017.0,594.0,107100.0,207060.0,492660.0,344862.0,49266.0,-49266.0,0.0,-99960.0
1502067,2015.0,34.0,472080.0,231825.0,1652280.0,826140.0,330456.0,-165228.0,0.0,240255.0
1502067,2016.0,91.0,632250.0,935730.0,948375.0,758700.0,189675.0,-94837.5,0.0,-303480.0
1502067,2017.0,335.0,134880.0,126450.0,148368.0,118694.4,14836.8,-14836.8,0.0,8430.0
1502243,2015.0,810.0,260750.0,253300.0,104300.0,73010.0,20860.0,-10430.0,0.0,7450.0
1502243,2016.0,204.0,119200.0,111750.0,262240.0,104896.0,52448.0,-26224.0,0.0,7450.0
1502243,2017.0,638.0,134100.0,63325.0,295020.0,147510.0,118008.0,-29502.0,0.0,70775.0
1502280,2015.0,381.0,22600.0,30510.0,31640.0,25312.0,9492.0,-3164.0,0.0,-7910.0
1502280,2016.0,559.0,27120.0,37290.0,132888.0,66444.0,39866.4,-13288.8,0.0,-10170.0
1502280,,49.0,47460.0,90400.0,166110.0,99666.0,33222.0,-16611.0,0.0,-42940.0
1503006,2015.0,637.0,25650.0,50160.0,117990.0,58995.0,35397.0,-11799.0,0.0,-24510.0
1503006,2016.0,535.0,45600.0,22515.0,123120.0,98496.0,36936.0,-12312.0,0.0,23085.0
1503006,2017.0,448.0,19380.0,28215.0,32946.0,23062.2,13178.4,-3294.6,0.0,-8835.0
1503926,2015.0,277.0,186720.0,89470.0,616176.0,369705.6,61617.6,,0.0,97250.0
1503926,2016.0,643.0,210060.0,303420.0,462132.0,369705.6,46213.2,-46213.2,0.0,-93360.0
1503926,2017.0,131.0,233400.0,225620.0,70020.0,28008.0,21006.0,-7002.0,0.0,7780.0
